plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period,beneficial_companions,harmful_companions,neutral_companions
Agrimony,Agrimonia eupatoria,herb,Traditional medicinal herb; Can be used as a natural yellow dye; Good for meadow style planting,90-130 days,30cm,5mm,"Part sun to Full sun, moist well drained soil",Spring or Autumn,14-36 days @ 13-15°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Sweet and sour flavour; Best flavour of the common thyme varieties,"**Agrimony** (*Agrimonia eupatoria*) is a **traditional medicinal herb** that also offers beauty and utility to your garden. This perennial herb features serrated green leaves, delicately covered in fine white hairs, and produces long spikes of **sweetly fragranced yellow flowers** throughout the summer. You can harvest the flower spikes just above the ground for drying, and the leaves, whether fresh or dried, can be brewed into a tea with a mild bitterness due to their high tannin content. The flowers are often incorporated into **traditional medicinal herb flower remedies**. Watch for the distinctive **burr-like, sticky seed pods**! Agrimony is well-suited for **borders and meadow-style planting**, and its roots, leaves, and flowers can be used to create a **natural yellow dye**. It's also known by charming folk names like ""Church Steeples,"" ""Sticklewort,"" and ""Cockleburr.""",Borders; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Agrimony_Agrimonia eupatoria/Agrimony_Agrimonia eupatoria_1.jpg; Agrimony_Agrimonia eupatoria/Agrimony_Agrimonia eupatoria_2.jpg,"September, October, November",,,,,"Yarrow, Echinacea, Corn, Squash, Beans","Blueberries, Rhododendrons","Lettuce, Carrots, Onions, Marigold"
Alpine Goldenrod,Solidago cutleri,herb,Perennial to 15cm; Medicinal uses; Attracts butterflies,,20cm,2mm,"Full sun, moist well drained soil.","Autumn, Winter and Spring",14-35 days @ 10-22°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Sweet and sour flavour; Best flavour of the common thyme varieties,"**Alpine Goldenrod** (*Solidago cutleri*) is a **low-growing, clump-forming perennial** that brings vibrant color and ecological benefits to your garden. Reaching a height of *up to 15cm*, it boasts small, serrated leaves and a fibrous root system. In **late summer and early autumn**, it graces the garden with **small, bright yellow flowers**. This plant has a **history of medicinal use** and is a magnet for **butterflies and other pollinators**. It thrives in **full sun** and tolerates **drought conditions**, making it an excellent choice for **rock gardens** and dry, rocky soils.",Attracts beneficial insects; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Alpine Goldenrod_Solidago cutleri/Alpine Goldenrod_Solidago cutleri_1.jpg; Alpine Goldenrod_Solidago cutleri/Alpine Goldenrod_Solidago cutleri_2.jpg; Alpine Goldenrod_Solidago cutleri/Alpine Goldenrod_Solidago cutleri_3.jpg,"September, October, November",,,,,"Aster, Coneflower, Squash, Cucumber, Tomatoes","Fennel, Newly seeded lettuce, Newly seeded carrots","Sunflowers, Ornamental grasses, Rudbeckia, Daylilies"
Angelica,Angelica archangelica,herb,Biennial 200cm; Culinary and medicinal herb; Liquorice flavour,365 days,50cm,1mm,"Part sun, moist soil",Spring and autumn,30-35 days @ 15-18°C,Angelica seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy Biennial,Liquorice flavour; Sweet and sour flavour; Best flavour of the common thyme varieties,"**Angelica** (*Angelica archangelica*) is an impressive **biennial herb** that can grow to a towering *200cm*, offering both culinary delights and medicinal benefits. Its **very fragrant** presence is characterized by **green, hollow stems** and lush green leaves composed of smaller, serrated leaflets. In its flowering stage, it produces **large, rounded displays of small white and green flowers**. The stems can be used as a **vegetable** or as a **flavoring**, while the leaves are versatile for use as a **herb**, in **teas**, and in **salads**. The seeds add a delightful **liquorice flavor** to liqueurs, desserts, confectionery, and teas, and the plant also possesses **medicinal uses**. Angelica **self-seeds freely**, ensuring its return, though it will die back over winter.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Angelica_Angelica archangelica/Angelica_Angelica archangelica_1.jpg; Angelica_Angelica archangelica/Angelica_Angelica archangelica_2.jpg; Angelica_Angelica archangelica/Angelica_Angelica archangelica_3.jpg,"September, October, November",,,,,"Lettuce, Cabbage, Broccoli, Roses, Rhubarb","Fennel, Dill, Carrots, Parsnips","Beans, Peas, Onions, Marigold"
Anise,Pimpinella anisum,herb,Annual 50cm; Culinary and medicinal herb; Aniseed,130 days,30cm,7mm,"Full sun, moist well drained soil",Spring and summer,6-14 days @ 20-22°C,Anise seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Half hardy Annual,Sweet and sour flavour,"**Anise** (*Pimpinella anisum*) is a delightful **annual herb** that reaches a height of *50cm*. This bushy plant boasts **feathery, light green leaves** with a sweet aniseed flavor, perfect for adding a unique touch to salads, soups, and stews. Its aromatic seedpods, famously known as Aniseed, offer a **spicy liquorice flavor** that is a wonderful addition to drinks, teas, desserts, breads, and confectionery. Beyond its culinary appeal, Anise also holds **medicinal benefits**, making it a versatile addition to your garden.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Anise_Pimpinella anisum/Anise_Pimpinella anisum_1.jpg; Anise_Pimpinella anisum/Anise_Pimpinella anisum_2.jpg,"September, October, November",,,,,"Cabbage, Broccoli, Beans, Coriander","Carrots, Radishes, Basil, Fennel","Lettuce, Spinach, Peas, Onions"
Applemint,Mentha suaveolens,herb,"Fruity mint flavour; Also known as ""Woolly Mint""",60-70 days,30cm,1mm,"Part or full sun, moist soil",Spring and autumn,10-14 days @ 13-18°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Fruity mint flavour; Best flavour of the common thyme varieties; Refreshing flavour,"**Applemint** (*Mentha suaveolens*), also known as ""Woolly Mint,"" is a **vigorous perennial herb** that grows up to *60cm* with a spreading habit. Its **bright green leaves are covered in fine hairs**, giving it a distinctive woolly appearance. These rounded leaves possess a **strong, fruity scent reminiscent of a cross between mint and fresh apples**. Applemint has a rich history of **medicinal and aromatherapy uses**. The leaves can be enjoyed raw or cooked, lending their **fruity mint flavor** to teas, jams, desserts, and sauces. In late summer, it graces the garden with lovely **light pink flowers**. This adaptable herb is also **well-suited for container growing**.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Applemint_Mentha suaveolens/Applemint_Mentha suaveolens_1.jpg,"September, October, November, December","August, September, October, November","August, September, October, November","April, May, June, July","May, June, July","Tomatoes, Cabbage, Broccoli, Cauliflower, Carrots","Parsley, Chamomile, Any plant in the same uncontained bed","Corn, Squash, Sunflowers, Peppers"
Basil- Blue Spice,Ocimum americanum,herb,Annual 40cm; Culinary herb; Spicy vanilla flavour,70-90 days,40cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Spicy vanilla flavour; Best flavour of the common thyme varieties,"**Basil - Blue Spice** (*Ocimum americanum*) is an **attractive annual herb** that grows to *40cm* and produces spikes of small purple flowers. Its **fragrant green leaves** are the star, offering a **strong, spicy vanilla-like flavor** that is incredibly versatile. This unique basil is fantastic in both sweet and savory dishes, making it ideal for fruit salads, dips, sauces, and chicken dishes. **Blue Spice Basil** is also **suitable for container growing** and can even be used in potpourri, making it a **highly ornamental and fragrant choice** for your garden.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Blue Spice_Ocimum americanum/Basil- Blue Spice_Ocimum americanum_1.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December","Tomatoes, Peppers, Asparagus, Marigold, Oregano","Rue, Fennel, Sage","Lettuce, Spinach, Carrots, Onions, Beans"
Basil- Bush,,herb,"Also known as ""Greek Basil""; Culinary herb; Dwarf variety; good for pots",80 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Fast growing; Best flavour of the common thyme varieties,"**Bush Basil** (*Ocimum minimum*), also affectionately known as ""Greek Basil,"" is a delightful **aromatic annual** that stays wonderfully compact, reaching a height of just *20cm*. This **dwarf variety** forms a **neat, bushy plant** with smaller leaves compared to its larger basil cousins, making it ***perfect for container gardening***. You can use its leaves just like you would Sweet basil, and its tidy habit also makes it a **charming garden border** option.",Container growing; Borders; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Bush_unknown/Basil- Bush_unknown_1.jpg; Basil- Bush_unknown/Basil- Bush_unknown_2.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December","Tomatoes, Peppers, Asparagus, Marigold, Oregano","Rue, Fennel, Sage","Lettuce, Spinach, Carrots, Onions, Beans"
Basil- Cinnamon,Ocimum basilicum,herb,Annual 70cm; Culinary herb; Strong cinnamon scent and flavour,90-110 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Strong cinnamon scent and flavour; Fast growing; Best flavour of the common thyme varieties,"**Cinnamon Basil** (*Ocimum basilicum*) is an **aromatic annual** that grows to about *70cm* tall, boasting attractive **dark purple/red stems** and **dark green leaves**. What truly sets this culinary herb apart is its **unique scent and flavor**, a captivating blend of cinnamon and classic basil. It can be used in all the same ways as sweet basil, but it also ***shines in sweet applications***, adding a warm spice note to desserts and drinks. This versatile herb can be grown in containers and enjoyed fresh or dried.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Cinnamon_Ocimum basilicum/Basil- Cinnamon_Ocimum basilicum_1.jpg; Basil- Cinnamon_Ocimum basilicum/Basil- Cinnamon_Ocimum basilicum_2.jpg; Basil- Cinnamon_Ocimum basilicum/Basil- Cinnamon_Ocimum basilicum_3.jpg; Basil- Cinnamon_Ocimum basilicum/Basil- Cinnamon_Ocimum basilicum_4.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December","Tomatoes, Peppers, Asparagus, Marigold, Oregano","Rue, Fennel, Sage","Lettuce, Spinach, Carrots, Onions, Beans"
Basil- Dark Opal,Ocimum basilicum,herb,Annual 70cm; Culinary herb; Attractive dark purple foliage,80-100 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Fast growing; Best flavour of the common thyme varieties; Refreshing flavour,"**Dark Opal Basil** (*Ocimum basilicum*) is a visually stunning **aromatic annual** that reaches approximately *70cm* in height. This variety is celebrated for its **beautiful dark purple foliage**, which is slightly crinkled, adding a unique texture. It's not just a feast for the eyes; its leaves are a **fantastic culinary addition**, bringing vibrant color and flavor to salads, rice dishes, and homemade basil vinegar. **Dark Opal Basil** is also well-suited for container growing and can be preserved for later use by drying.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Dark Opal_Ocimum basilicum/Basil- Dark Opal_Ocimum basilicum_1.jpg; Basil- Dark Opal_Ocimum basilicum/Basil- Dark Opal_Ocimum basilicum_2.jpg; Basil- Dark Opal_Ocimum basilicum/Basil- Dark Opal_Ocimum basilicum_3.jpg; Basil- Dark Opal_Ocimum basilicum/Basil- Dark Opal_Ocimum basilicum_4.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December","Tomatoes, Peppers, Asparagus, Marigold, Oregano","Rue, Fennel, Sage","Lettuce, Spinach, Carrots, Onions, Beans"
Basil- Genovese,Ocimum basilicum,herb,Annual 60cm; Culinary herb; Italian pesto variety,60-80 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Best flavour of the common thyme varieties; Refreshing flavour,"**Genovese Basil** (*Ocimum basilicum*) is a wonderfully aromatic annual herb that reaches a height of *60cm*. Its **large, fragrant green leaves** are the quintessential choice for crafting authentic Italian pesto, making it a must-have for any culinary garden. This versatile herb thrives in containers, allowing you to enjoy its fresh flavor or dry it for later use, bringing the taste of summer to your kitchen year-round.",Container growing,"Open pollinated, untreated, non-GMO variety of seed",Basil- Genovese_Ocimum basilicum/Basil- Genovese_Ocimum basilicum_1.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December","Tomatoes, Peppers, Asparagus, Marigold, Oregano","Rue, Fennel, Sage","Lettuce, Spinach, Carrots, Onions, Beans"
