plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period,beneficial_companions,harmful_companions,neutral_companions
Achiote,Bixa orellana,vegetable,Evergreen shrub or tree to 6m; Striking fruit covered in stiff red hairs; Use as a natural food colouring,1-2 years,200cm,20mm,"Full sun, moist well drained soil",Spring,28-40 days @ 20-25°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Half Hardy Perennial,Flavour is oyster-like,"**Achiote** (*Bixa orellana*) is a captivating **evergreen shrub or small tree** that can reach up to *6 meters* tall, though it typically stays around *3 meters* in cultivation. Its **glossy, heart-shaped leaves** are pointed and grow up to *15 cm* long, complemented by lovely **pink and white flowers**. The true showstopper is its **striking fruit clusters**, which are densely covered in **stiff, bright red hairs**. When ripe, these fruits split open to reveal numerous dark red seeds coated in an edible, orange pulp. This pulp can be stirred in water to create **annatto**, a **flavorless natural food coloring** similar to turmeric, perfect for tinting rice, desserts, cheese, and dairy products. The dried seed pods also add a unique touch to **floral arrangements**. Achiote is versatile, thriving as an **informal hedge**, in **large containers**, or as a source for **cut flowers**. Native to tropical Central and South America, it's also known as 'Annatto' and 'Lipstick Tree'.",Pink/Rose Flowers; Container growing; Cut flowers; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Achiote_Bixa orellana/Achiote_Bixa orellana_1.jpg; Achiote_Bixa orellana/Achiote_Bixa orellana_2.jpg; Achiote_Bixa orellana/Achiote_Bixa orellana_3.jpg; Achiote_Bixa orellana/Achiote_Bixa orellana_4.jpg,"September, October, November",,,,,"beans, peas, marigold, nasturtium, oregano","walnut, fennel, other large shrubs","lettuce, spinach, radish, sweet potato"
Adzuki Bean,Vigna angularis,vegetable,Climbing vine; Great both fresh and dried,120 days,10cm,20mm,"Full sun, well drained soil",Spring and summer,14-21 days @ 18-32°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,Best flavour of the common thyme varieties,"The **Adzuki Bean** (*Vigna angularis*) is a **climbing vine** celebrated for its **sweet and nutty flavor**. These small red beans, originating from Japan, are a staple in Asian cuisine and are **highly nutritious**. They are wonderfully versatile, offering deliciousness whether enjoyed **fresh or dried**. Adzuki beans can also be used as a **sprouting seed** or even as a **green manure**, making them a valuable addition to any garden.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Adzuki Bean_Vigna angularis/Adzuki Bean_Vigna angularis_1.jpg,"January, October, November, December","January, February, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","January, February, September, October, November, December","corn, squash, cucumber, carrot, summer savory, marigold","onion, garlic, chives, leek, fennel, sunflower","tomato, pepper, lettuce, potato"
African Horned Cucumber,Cucumis metuliferus,vegetable,Native to Africa; Very unusual fruit; Banana and lime like flavour,120 days,40cm,10mm,"Full sun, moist well drained soil",Spring(or after frost) and summer,14-21 days @ 20-35°C,Sow direct or raise seedlings,Frost tender Annual,Banana and lime like flavour,"Discover the **African Horned Cucumber** (*Cucumis metuliferus*), a **climbing vine native to Africa** that produces **incredibly unusual fruit**. These green, thorned fruits mature into a **vibrant orange/yellow** and are best enjoyed when ripe for their optimal flavor. Inside, you'll find a **jelly-like flesh** with a delightful taste that's a unique blend of **banana, lime, and cucumber**. It's commonly savored as a fruit, used as a striking garnish, or juiced. Beyond its culinary appeal, the **African Horned Cucumber** is also a **fantastic decoration** due to its excellent storage capabilities and **easy-to-grow** nature. Also known as Jelly Melon, hedged gourd, or melano, this plant is sure to be a conversation starter in your garden.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",African Horned Cucumber_Cucumis metuliferus/African Horned Cucumber_Cucumis metuliferus_1.jpg; African Horned Cucumber_Cucumis metuliferus/African Horned Cucumber_Cucumis metuliferus_2.jpg; African Horned Cucumber_Cucumis metuliferus/African Horned Cucumber_Cucumis metuliferus_3.jpg,"October, November, December","January, February, September, October, November, December","January, February, March, July, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December","beans, peas, corn, radish, marigold, nasturtium, oregano","potato, sage, fennel","lettuce, spinach, carrot, tomato"
Amaranth- Green Garnet,Amaranthus tricolor,vegetable,"Large green leaves; Baby leaf, sprouts & microgreens","70-110 days (SPROUTS: 5-10 days, MICROGREENS: 14-21 days, BABY LEAF: 20-30 days)",50cm,6mm,"Full sun, moist soil",Spring or after frost and summer,7-10 days @ 20-25°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Annual,Best flavour of the common thyme varieties,"**Amaranth- Green Garnet** (*Amaranthus tricolor*) is a versatile leafy green that thrives in the home garden. Primarily cultivated as a **leaf vegetable**, it's exceptionally well-suited for harvesting as **baby leaf, sprouts, or microgreens**, offering a quick and rewarding harvest. The plants yield **large, tender green leaves** with a delightful flavor, making them a popular choice in Asian cuisine and a fantastic addition to **soups, stews, salads, and stir-fries**. This **fast-growing** variety is also **heat tolerant**, ensuring a good harvest even in hot weather. You can **pick leaves as needed**, enjoying the tender young leaves in salads or cooking the mature leaves similarly to spinach. For an added bonus, seeds from mature plants can be harvested and used as a nutritious grain.",,"Open pollinated, untreated, non-GMO variety of seed",Amaranth- Green Garnet_Amaranthus tricolor/Amaranth- Green Garnet_Amaranthus tricolor_1.jpg,"September, October, November","January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May, June, July, August","March, April, May, June, July, August","corn, onion, potato, tomato, pepper, mint","fennel, beans (if planted too close)","squash, cucumber, lettuce, spinach"
Amaranth- Green Leaf,Amaranthus tricolor,vegetable,Leaf vegetable/salad green; Can also be grown as a sprout and microgreen,"45-55 days (SPROUTS, 4 days; MICROGREENS, 14-21 days)",50cm,6mm,"Full sun, moist soil",Spring or after frost and summer,7-10 days @ 20-25°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Annual,,"**Amaranth- Green Leaf** (*Amaranthus tricolor*) is a superb choice for gardeners seeking a **leaf vegetable** that's also perfect for **salad greens, sprouts, and microgreens**. Its **large, tender green leaves** boast a **sweet flavor** and are highly regarded in Asian cooking, lending their deliciousness to **soups, stews, and stir-fries**. This **fast-growing** plant is remarkably **nutritious** and **heat tolerant**, making it a reliable producer throughout the warmer months. You can **pick leaves as required** for continuous harvests or wait to **harvest the whole plant at maturity**.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Amaranth- Green Leaf_Amaranthus tricolor/Amaranth- Green Leaf_Amaranthus tricolor_1.jpg; Amaranth- Green Leaf_Amaranthus tricolor/Amaranth- Green Leaf_Amaranthus tricolor_2.jpg; Amaranth- Green Leaf_Amaranthus tricolor/Amaranth- Green Leaf_Amaranthus tricolor_3.jpg; Amaranth- Green Leaf_Amaranthus tricolor/Amaranth- Green Leaf_Amaranthus tricolor_4.jpg,"September, October, November","January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May, June, July, August","March, April, May, June, July, August","corn, onion, potato, tomato, pepper, mint","fennel, beans (if planted too close)","squash, cucumber, lettuce, spinach"
Amaranth- Red Garnet,Amaranthus tricolor,vegetable,"Attractive red leaves; Baby leaf, sprouts & microgreens","70-110 days (SPROUTS: 5-10 days, MICROGREENS: 14-21 days, BABY LEAF: 20-30 days)",50cm,6mm,"Full sun, moist soil",Spring or after frost and summer,7-10 days @ 20-25°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Annual,,"**Amaranth- Red Garnet** (*Amaranthus tricolor*) offers both culinary delight and ornamental beauty. Primarily grown as a **leaf vegetable**, it excels as **baby leaf, salad greens, sprouts, or microgreens**. Its **large, attractive leaves** display a striking **burgundy-red hue with hints of green**, possessing an excellent flavor and tender texture. This **fast-growing** variety is a star in **Asian cuisine**, perfect for **soups, stews, salads, and stir-fries**. It's also **heat tolerant**, performing well in hot weather. Harvest leaves as needed, using the tender young ones for salads and cooking mature leaves like spinach. Beyond the kitchen, **Amaranth- Red Garnet** can be grown as an **ornamental annual**, reaching up to *200cm* with an upright habit and producing **large, attractive red flowers**. It's a stunning addition to **beds, borders, mass plantings, and cottage gardens**. Mature plants also yield seeds that can be harvested and used as a grain.",,"Open pollinated, untreated, non-GMO variety of seed",Amaranth- Red Garnet_Amaranthus tricolor/Amaranth- Red Garnet_Amaranthus tricolor_1.jpg; Amaranth- Red Garnet_Amaranthus tricolor/Amaranth- Red Garnet_Amaranthus tricolor_2.jpg; Amaranth- Red Garnet_Amaranthus tricolor/Amaranth- Red Garnet_Amaranthus tricolor_3.jpg; Amaranth- Red Garnet_Amaranthus tricolor/Amaranth- Red Garnet_Amaranthus tricolor_4.jpg,"September, October, November","January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May, June, July, August","March, April, May, June, July, August","corn, onion, potato, tomato, pepper, mint","fennel, beans (if planted too close)","squash, cucumber, lettuce, spinach"
Amaranth- Red Leaf,Amaranthus tricolor,vegetable,Leaf vegetable/salad green; Can also be grown as a sprout and microgreen,"45-55 days (SPROUTS: 4 days, MICROGREENS: 14-21 days)",50cm,6mm,"Full sun, moist soil",Spring or after frost and summer,7-10 days @ 20-25°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Annual,,"**Amaranth - Red Leaf** (*Amaranthus tricolor*) is a versatile and nutritious leafy green, also known as **Vegetable Amaranth**. This fast-growing variety, with synonyms like *Amaranthus mangostanus*, boasts tender green leaves with striking red veins and a delightful sweet flavor, making it a star in Asian cuisine. It's perfect for adding to soups, stews, and stir-fries, or enjoying fresh as a salad green, sprout, or microgreen. Its heat tolerance and ornamental appeal further enhance its value in the garden. Harvest leaves as needed or the entire plant when mature.",Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Amaranth- Red Leaf_Amaranthus tricolor/Amaranth- Red Leaf_Amaranthus tricolor_1.jpg; Amaranth- Red Leaf_Amaranthus tricolor/Amaranth- Red Leaf_Amaranthus tricolor_2.jpg; Amaranth- Red Leaf_Amaranthus tricolor/Amaranth- Red Leaf_Amaranthus tricolor_3.jpg; Amaranth- Red Leaf_Amaranthus tricolor/Amaranth- Red Leaf_Amaranthus tricolor_4.jpg,"September, October, November","January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May, June, July, August","March, April, May, June, July, August","corn, onion, potato, tomato, pepper, mint","fennel, beans (if planted too close)","squash, cucumber, lettuce, spinach"
Angelica,Angelica archangelica,vegetable,Biennial 200cm; Culinary and medicinal herb; Liquorice flavour,365 days,50cm,1mm,"Part sun, moist soil",Spring and autumn,30-35 days @ 15-18°C,Angelica seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy Biennial,Liquorice flavour; Sweet and sour flavour; Best flavour of the common thyme varieties,"**Angelica** (*Angelica archangelica*) is a fragrant biennial herb that reaches an impressive *200cm* in height. Its hollow green stems, adorned with serrated leaflets, produce large, round clusters of small white-green flowers. Both the stems and leaves are culinary treasures: stems can be cooked as a vegetable or used for flavoring, while leaves are excellent in salads or for making teas. The seeds lend a unique liquorice flavor to liqueurs, desserts, confectionery, and teas. Beyond the kitchen, Angelica is also recognized for its **medicinal uses**. This self-seeding plant will gracefully die back over winter, promising a return in the spring.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Angelica_Angelica archangelica/Angelica_Angelica archangelica_1.jpg; Angelica_Angelica archangelica/Angelica_Angelica archangelica_2.jpg; Angelica_Angelica archangelica/Angelica_Angelica archangelica_3.jpg,"September, October, November",,,,,"cabbage, broccoli, cauliflower, lettuce, borage","fennel, dill, carrot, parsnip","beans, peas, corn, squash, tomato"
Angled Luffa,Luffa acutangula,vegetable,Asian vegetable; Mature fruits can be used as a sponge; Also known as Chinese Okra or Ridge Gourd,100 days for fruit (150 days for fully mature fruit),50cm,15mm,"Full sun, moist well drained soil",Spring(or after frost),14-21 days @ 25-30°C,Sow direct or raise seedlings,Frost tender Annual,,"Discover the **Angled Luffa** (*Luffa acutangula*), a popular Asian vegetable also known as **Chinese Okra** or **Ridge Gourd**. This summer vine thrives in tropical climates, producing long, green-skinned fruits distinguished by their numerous ridges. The white flesh offers a sweet flavor, wonderfully comparable to zucchini, making it a fantastic substitute in warmer regions. Beyond its culinary delights, the mature fruit of the Angled Luffa transforms into a ***highly functional scrubbing sponge*** for your bathroom or kitchen. This versatile plant, also called sponge gourd, ribbed loofah, dish cloth gourd, and silk gourd, is a must-have for adventurous gardeners.",Beds; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Angled Luffa_Luffa acutangula/Angled Luffa_Luffa acutangula_1.jpg; Angled Luffa_Luffa acutangula/Angled Luffa_Luffa acutangula_2.jpg; Angled Luffa_Luffa acutangula/Angled Luffa_Luffa acutangula_3.jpg,"October, November, December","September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, March, August, September, October, November, December","corn, beans, peas, marigold, nasturtium, oregano","potato, fennel, pumpkin (due to competition)","tomato, pepper, lettuce, radish"
Artichoke- Colorado Red Star,Cynara scolymus,vegetable,Perennial 60cm; Purple or purple-tinged buds; Grows well from seed,90 days,80cm,10mm,"Full sun, moist well drained soil",Autumn or Spring,14-21 days @ 21-26°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Perennial,Best flavour of the common thyme varieties,"**Artichoke - Colorado Red Star** (*Cynara scolymus*) is a delightful perennial that offers a rewarding harvest, even in its first year when grown from seed. This variety matures early, producing beautiful **purple or purple-tinged buds** that are *5-10cm in diameter*. The plants themselves reach a height of *30-90cm*, featuring spiny stems and producing multiple buds per stem. While a perennial, it can also be successfully grown as an annual in cooler climates, making its **culinary and medicinal uses** accessible to a wider range of gardeners.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Artichoke- Colorado Red Star_Cynara scolymus/Artichoke- Colorado Red Star_Cynara scolymus_1.jpg; Artichoke- Colorado Red Star_Cynara scolymus/Artichoke- Colorado Red Star_Cynara scolymus_2.jpg; Artichoke- Colorado Red Star_Cynara scolymus/Artichoke- Colorado Red Star_Cynara scolymus_3.jpg,"September, October, November","January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May, June, July, August","January, February, March, April, August, September, October, November, December","peas, beans, cabbage, borage, marigold, nasturtium","carrot, onion, potato, fennel","corn, cucumber, squash, sunflower"
