plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period,beneficial_companions,harmful_companions,neutral_companions
Agastache- Lavender Martini,Agastache aurantiaca,flower,Dwarf perennial to 25cm; Lavender coloured flower spikes; Long lasting flowers,80-90 days,25cm,1mm,"Full sun, well drained soil",Spring,10-14 days @ 18-20°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Half Hardy Perennial,,"**Agastache - Lavender Martini** (*Agastache aurantiaca*) is a charming dwarf perennial that reaches a modest *25cm* in height. Its **scented green leaves and stems** release a delightful lemon-mint aroma, perfect for culinary use in herbal teas or as a fragrant addition to your garden. From **mid-summer to late autumn**, it boasts **long-lasting spikes of soft lavender flowers** that are not only beautiful but also **edible**. This compact plant is ***ideal for containers, rockeries, dry gardens, and cottage gardens***, thriving even in poor soils and tolerating drought and heat. As a bonus, its blooms **attract pollinators and beneficial insects**, making it a valuable addition to any garden ecosystem.",Purple/Violet Flowers; Container growing; Attracts beneficial insects; Rockeries; Borders; Edible Flowers; Culinary use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Agastache- Lavender Martini_Agastache aurantiaca/Agastache- Lavender Martini_Agastache aurantiaca_1.jpg,"September, October, November",,,,,"Echinacea, Rudbeckia, Salvia, Rosemary, Thyme, Cabbage, Broccoli, Grapes","Hosta, Ferns, Astilbe","Zinnia, Petunia, Marigold, Ornamental Grasses, Tomatoes"
Agastache- Raspberry Daiquiri,Agastache aurantiaca,flower,Dwarf perennial to 25cm; Raspberry pink flowers; Attracts pollinators,80-90 days,25cm,1mm,"Full sun, well drained soil",Spring,10-14 days @ 18-20°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Half Hardy Perennial,Fast growing,"**Agastache - Raspberry Daiquiri** (*Agastache aurantiaca*) is a delightful dwarf perennial, growing to a compact *25cm*. Its **aromatic green leaves and stems** offer a refreshing lemon-mint scent, making them suitable for **culinary use** in teas. From **mid-summer through to the end of autumn**, this plant produces **long-lasting spikes of vibrant raspberry pink flowers**. These **edible blooms** are a magnet for **pollinators and beneficial insects**, contributing to a healthy garden environment. ***Perfect for containers, rockeries, dry gardens, and cottage gardens***, this plant is **drought and heat tolerant** and will flourish even in less-than-ideal soil conditions.",Pink/Rose Flowers; Container growing; Attracts beneficial insects; Rockeries; Borders; Edible Flowers; Culinary use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Agastache- Raspberry Daiquiri_Agastache aurantiaca/Agastache- Raspberry Daiquiri_Agastache aurantiaca_1.jpg; Agastache- Raspberry Daiquiri_Agastache aurantiaca/Agastache- Raspberry Daiquiri_Agastache aurantiaca_2.jpg,"September, October, November",,,,,"Echinacea, Rudbeckia, Salvia, Rosemary, Thyme, Cabbage, Broccoli, Grapes","Hosta, Ferns, Astilbe","Zinnia, Petunia, Marigold, Ornamental Grasses, Tomatoes"
Agave- Foxtail,Agave attentuata,flower,"Succulent perennial to 100cm; Tolerant of drought, heat and coastal conditions; Suited to growing in containers",2 years,100cm,1mm,"Full sun, well drained soil",Spring and summer,10-14 days @ 24-30°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Frost Hardy Perennial,,"**Agave - Foxtail** (*Agave attenuata*) is a striking succulent perennial that can grow up to *100cm* tall. It features a **rosette of fleshy, silver-green pointed leaves** that can spread up to *120cm* wide. Mature plants produce **impressive flower stems** in summer, reaching up to *300cm* tall, adorned with **graceful arches covered in yellow-green flowers**, giving this agave its distinctive ""foxtail"" common name. ***This low-maintenance succulent is exceptionally tolerant of drought, heat, and coastal conditions***, making it a versatile choice for **rock gardens, dry gardens, containers**, or as an **accent plant** in beds and borders.",Green Flowers; Container growing; Rockeries; Drought tolerant; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Agave- Foxtail_Agave attentuata/Agave- Foxtail_Agave attentuata_1.jpg; Agave- Foxtail_Agave attentuata/Agave- Foxtail_Agave attentuata_2.jpg; Agave- Foxtail_Agave attentuata/Agave- Foxtail_Agave attentuata_3.jpg; Agave- Foxtail_Agave attentuata/Agave- Foxtail_Agave attentuata_4.jpg,"September, October, November",,,,,"Sedum, Echeveria, Lavender, Rosemary, Blue Fescue, Mexican Feather Grass","Impatiens, Ferns, Roses, Dahlias, Begonias","Bougainvillea, Lantana, Verbena, Yucca"
Ageratum- Ball Blue,Ageratum houstonianum,flower,"Annual 30cm; Blue flowers; Good for beds, borders, pathways, rockeries and containers",90 days,30cm,1mm,"Full sun, moist well drained soil",Spring and summer (anytime in warm climates),7-14 days @ 25-28°C,Sow direct or raise seedlings,Half hardy Annual,Fast growing; Best flavour of the common thyme varieties,"**Ageratum - Ball Blue** (*Ageratum houstonianum*) is a delightful annual that brings a touch of sky-blue charm to your garden. Growing to a neat *30cm* in height, these compact plants feature dark green, ovate leaves and produce masses of small, rounded, brush-like flowers in a lovely blue hue. They are incredibly versatile, making them **perfect for beds, borders, pathways, and rockeries**, adding a splash of color along edges and in smaller spaces. You can also **easily grow them in containers** for a pop of blue on patios or balconies. As a **fast-growing and easy-care** option, they offer **long-lasting blooms** throughout the season and are a magnet for **attracting butterflies**. These charming flowers are also **excellent as cut flowers**, bringing their beauty indoors. Also known as Floss Flower and Bluemink, they are a wonderful choice for adding ornamental appeal and supporting beneficial insects.",Blue Flowers; Container growing; Rockeries; Borders; Beds; Ornamental use; Attracts beneficial insects; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Ageratum- Ball Blue_Ageratum houstonianum/Ageratum- Ball Blue_Ageratum houstonianum_1.jpg,"September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, August, September, October, November, December","April, May, June","June, July, August","Tomatoes, Peppers, Beans, Marigold, Zinnia, Roses, Cabbage","Phlox, Bee Balm, Lavender, Succulents","Petunia, Snapdragon, Cosmos, Basil, Parsley, Lettuce"
Ageratum- Ball Mix,Ageratum houstonianum,flower,"Annual 30cm; Mix of blue, white and pink flowers; Attracts bees and butterflies",90 days,30cm,1mm,"Full sun, moist well drained soil",Spring and summer (anytime in warm climates),7-14 days @ 25-28°C,Sow direct or raise seedlings,Half hardy Annual,Fast growing,"**Ageratum - Ball Mix** (*Ageratum houstonianum*) offers a vibrant tapestry of color for your garden, growing to a compact *30cm* tall. This **fast and easy-to-grow** annual bursts forth with a cheerful mix of **blue, pink, and white fluffy flowers**, creating a lively display. The plants have attractive dark green, ovate leaves, and their small, rounded blooms are a delight. They are **wonderfully adaptable**, looking superb in **beds, borders, along pathways, and in rockeries**. For added flexibility, they **thrive in containers**, bringing their colorful charm to any spot. These blooms are also **fantastic as cut flowers**, perfect for brightening indoor arrangements. With their **long flowering period** and ability to **attract bees and butterflies**, Ageratum - Ball Mix is a beautiful and beneficial addition to any garden, also known as Floss Flower and Bluemink.",mixed Flowers; Container growing; Attracts beneficial insects; Cut flowers; Rockeries; Borders; Beds; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Ageratum- Ball Mix_Ageratum houstonianum/Ageratum- Ball Mix_Ageratum houstonianum_1.jpg; Ageratum- Ball Mix_Ageratum houstonianum/Ageratum- Ball Mix_Ageratum houstonianum_2.jpg; Ageratum- Ball Mix_Ageratum houstonianum/Ageratum- Ball Mix_Ageratum houstonianum_3.jpg,"September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, August, September, October, November, December","April, May, June","June, July, August","Tomatoes, Peppers, Beans, Marigold, Zinnia, Roses, Cabbage","Phlox, Bee Balm, Lavender, Succulents","Petunia, Snapdragon, Cosmos, Basil, Parsley, Lettuce"
Ageratum- Ball Pink,Ageratum houstonianum,flower,Annual 30cm; Fast and easy to grow; Attracts bees and butterflies,90 days,30cm,1mm,"Full sun, moist well drained soil",Spring and summer (anytime in warm climates),7-14 days @ 25-28°C,Sow direct or raise seedlings,Half hardy Annual,Fast and easy to grow; Fast growing,"**Ageratum - Ball Pink** (*Ageratum houstonianum*) is a charming annual that infuses your garden with a soft, rosy glow. Reaching a manageable *30cm* in height, this **fast and easy-to-grow** variety produces a profusion of lovely **mid-pink flowers**. The plants are compact, showcasing dark green, ovate leaves that beautifully contrast with the fluffy, rounded blooms. They are **exceptionally versatile**, ideal for planting in **beds, borders, along pathways, and within rockeries**, adding delicate color to various garden settings. Furthermore, they **perform beautifully in containers**, allowing you to enjoy their beauty on patios or balconies. With a **long flowering season**, these plants provide continuous color and are known to **attract bees and butterflies**. They also make **wonderful cut flowers**, bringing their sweet pink hues indoors. Also known as Floss Flower and Bluemink, this Ageratum is a delightful choice for ornamental use and supporting beneficial insects.",Pink/Rose Flowers; Container growing; Attracts beneficial insects; Cut flowers; Rockeries; Borders; Beds; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Ageratum- Ball Pink_Ageratum houstonianum/Ageratum- Ball Pink_Ageratum houstonianum_1.jpg; Ageratum- Ball Pink_Ageratum houstonianum/Ageratum- Ball Pink_Ageratum houstonianum_2.jpg; Ageratum- Ball Pink_Ageratum houstonianum/Ageratum- Ball Pink_Ageratum houstonianum_3.jpg,"September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, August, September, October, November, December","April, May, June","June, July, August","Tomatoes, Peppers, Beans, Marigold, Zinnia, Roses, Cabbage","Phlox, Bee Balm, Lavender, Succulents","Petunia, Snapdragon, Cosmos, Basil, Parsley, Lettuce"
Ageratum- Ball White,Ageratum houstonianum,flower,"Annual 30cm; White flowers; Good for beds, borders, pathways, rockeries and containers",90 days,20cm,1mm,"Full sun, moist well drained soil",Spring and summer (anytime in warm climates),7-14 days @ 25-28°C,Sow direct or raise seedlings,Half hardy Annual,Fast growing; Excellent for cut flower and garden borders,"**Ageratum- Ball White** (*Ageratum houstonianum*) is a delightful annual that brings a touch of fluffy charm to your garden. Growing to a neat *30cm*, this variety features **dark green ovate leaves** and clusters of **small, rounded, brush-like white flowers**. These charming blooms create a lovely effect in **beds, borders, pathways, and rockeries**, and are also perfectly suited for **container growing**. Its **fast growth**, **ease of cultivation**, and **long flowering period** make it a rewarding choice for any gardener. Plus, these lovely white blossoms are **great for cutting** and will **attract beautiful butterflies** to your space.",White/Cream Flowers; Container growing; Rockeries; Borders; Beds; Ornamental use; Attracts beneficial insects; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Ageratum- Ball White_Ageratum houstonianum/Ageratum- Ball White_Ageratum houstonianum_1.jpg; Ageratum- Ball White_Ageratum houstonianum/Ageratum- Ball White_Ageratum houstonianum_2.jpg,"September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, August, September, October, November, December","April, May, June","June, July, August","Tomatoes, Peppers, Beans, Marigold, Zinnia, Roses, Cabbage","Phlox, Bee Balm, Lavender, Succulents","Petunia, Snapdragon, Cosmos, Basil, Parsley, Lettuce"
Ageratum- Market Growers Blue,Ageratum houstonianum,flower,Annual 50cm; Deep blue to purple flowers; Tall stems ideal for cutting,90 days,30cm,1mm,"Full sun, moist well drained soil",Spring and summer (anytime in warm climates),7-14 days @ 25-28°C,Sow direct or raise seedlings,Half hardy Annual,Tall stems ideal for cutting; Fast growing; Best flavour of the common thyme varieties,"**Ageratum- Market Growers Blue** (*Ageratum houstonianum*) offers a stunning splash of intense color, reaching up to *50cm* tall. Its **dark green ovate leaves** provide a rich backdrop for the **small, rounded, brush-like flowers** that bloom in a **deep blue to purple hue**. The **tall stems** of this variety are ***ideal for cutting***, bringing vibrant, long-lasting color indoors. Like its relatives, it thrives in **beds, borders, pathways, and rockeries**, and is also a wonderful option for **container growing**. This **fast and easy-to-grow** annual boasts a **long flowering period** and is a magnet for **butterflies**, making it a valuable addition to any garden.",Blue Flowers; Container growing; Rockeries; Borders; Beds; Ornamental use; Attracts beneficial insects; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Ageratum- Market Growers Blue_Ageratum houstonianum/Ageratum- Market Growers Blue_Ageratum houstonianum_1.jpg; Ageratum- Market Growers Blue_Ageratum houstonianum/Ageratum- Market Growers Blue_Ageratum houstonianum_2.jpg; Ageratum- Market Growers Blue_Ageratum houstonianum/Ageratum- Market Growers Blue_Ageratum houstonianum_3.jpg,"September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, August, September, October, November, December","April, May, June","June, July, August","Tomatoes, Peppers, Beans, Marigold, Zinnia, Roses, Cabbage","Phlox, Bee Balm, Lavender, Succulents","Petunia, Snapdragon, Cosmos, Basil, Parsley, Lettuce"
Ageratum- Red Flint,Ageratum houstonianum,flower,Annual 60cm; Good cut flower; Attracts bees and butterflies,90 days,40cm,1mm,"Full sun, moist well drained soil",Spring and summer (anytime in warm climates),7-14 days @ 25-28°C,Sow direct or raise seedlings,Half hardy Annual,Fast growing; Best flavour of the common thyme varieties,"**Ageratum- Red Flint** (*Ageratum houstonianum*) is a vibrant annual that grows to a generous *60cm* in height, gracing your garden with a **profusion of red flowers** throughout the summer. Its **mounded plants** showcase **dark green ovate leaves** and are adorned with **small, rounded, fluffy flowers**. This taller variety, with its **longer stems**, is ***an excellent choice for cut flowers***, bringing its cheerful red tones indoors. It performs beautifully in **beds, borders, and containers**, and its **long flowering period** ensures continuous color. As an added bonus, it **attracts bees and butterflies**, contributing to a lively and beneficial garden ecosystem.",Red/Crimson Flowers; Container growing; Attracts beneficial insects; Cut flowers; Rockeries; Beds; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Ageratum- Red Flint_Ageratum houstonianum/Ageratum- Red Flint_Ageratum houstonianum_1.jpg; Ageratum- Red Flint_Ageratum houstonianum/Ageratum- Red Flint_Ageratum houstonianum_2.jpg,"September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, August, September, October, November, December","April, May, June","June, July, August","Tomatoes, Peppers, Beans, Marigold, Zinnia, Roses, Cabbage","Phlox, Bee Balm, Lavender, Succulents","Petunia, Snapdragon, Cosmos, Basil, Parsley, Lettuce"
Alyssum- Carpet of Snow,Lobularia maritima,flower,"Annual 12cm; Pure white flowers; Good for beds, rockeries and edging",60 days,20cm,2mm,"Full or part sun, well drained soil",Spring and autumn (anytime in warm climates),7-14 days @ 18-22°C,Sow direct or raise seedlings,Hardy Annual,Fast growing,"**Alyssum- Carpet of Snow** (*Lobularia maritima*) is a delightful annual that grows to a compact *12cm* in height. This charming plant creates a **stunning carpet of tiny, fragrant, pure white flowers**, making it perfect for **ground cover**. Its low-growing habit and abundant blooms are ideal for **brightening up beds, adding delicate detail to rockeries, and creating neat edging** along paths. Also known as ""Sweet Alice,"" this variety offers a beautiful **white/cream floral display** for ornamental use.",White/Cream Flowers; Rockeries; Beds; Ground Cover; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Alyssum- Carpet of Snow_Lobularia maritima/Alyssum- Carpet of Snow_Lobularia maritima_1.jpg; Alyssum- Carpet of Snow_Lobularia maritima/Alyssum- Carpet of Snow_Lobularia maritima_2.jpg; Alyssum- Carpet of Snow_Lobularia maritima/Alyssum- Carpet of Snow_Lobularia maritima_3.jpg; Alyssum- Carpet of Snow_Lobularia maritima/Alyssum- Carpet of Snow_Lobularia maritima_4.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, May, August, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May, June, July","April, May, June, July","Lettuce, Carrots, Broccoli, Cabbage, Roses, Tomatoes, Peppers","Aggressive ground covers, Succulents, Cacti","Marigold, Zinnia, Petunia, Basil, Thyme"
