plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period
Agrimony,Agrimonia eupatoria,herb,Traditional medicinal herb; Can be used as a natural yellow dye; Good for meadow style planting,90-130 days,30cm,5mm,"Part sun to Full sun, moist well drained soil",Spring or Autumn,14-36 days @ 13-15°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Sweet and sour flavour; Best flavour of the common thyme varieties,"**Cocklebur, Church Steeples, Sticklewort** is a perennial herb with attractive features. Its serrated green leaves are covered in fine white hairs, and it produces long yellow spikes of sweet fragranced flowers throughout summer. These flower spikes can be cut just above the ground and dried, while the leaves can be harvested fresh or dried for use as a tea, boasting a mild bitterness due to its high tannin content. The flowers are often used in traditional medicinal herb flower remedies, and the seed pods are burr-like and sticky. This plant thrives in borders and meadow-style planting, and its root, leaves, and flowers can even be used as a natural yellow dye.",Borders; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Agrimony_Agrimonia eupatoria/Agrimony_Agrimonia eupatoria_1.jpg; Agrimony_Agrimonia eupatoria/Agrimony_Agrimonia eupatoria_2.jpg,"September, October, November",,,,
Alpine Goldenrod,Solidago cutleri,herb,Perennial to 15cm; Medicinal uses; Attracts butterflies,,20cm,2mm,"Full sun, moist well drained soil.","Autumn, Winter and Spring",14-35 days @ 10-22°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Sweet and sour flavour; Best flavour of the common thyme varieties,"**Goldenrod** is a low-growing, clump-forming perennial herb with small, serrated leaves and a fibrous root system. Its bright yellow flowers bloom in late summer and early autumn, carrying a history of medicinal use. This hardy plant tolerates drought conditions, dry and rocky soils, and full sun, making it an excellent choice for rock gardens and attracting pollinators. Note that while this plant shares its name with the more invasive Solidago altissima (or Solidago canadensis), which is recognized as a weed in many parts of Australia.",Attracts beneficial insects; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Alpine Goldenrod_Solidago cutleri/Alpine Goldenrod_Solidago cutleri_1.jpg; Alpine Goldenrod_Solidago cutleri/Alpine Goldenrod_Solidago cutleri_2.jpg; Alpine Goldenrod_Solidago cutleri/Alpine Goldenrod_Solidago cutleri_3.jpg,"September, October, November",,,,
Angelica,Angelica archangelica,herb,Biennial 200cm; Culinary and medicinal herb; Liquorice flavour,365 days,50cm,1mm,"Part sun, moist soil",Spring and autumn,30-35 days @ 15-18°C,Angelica seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy Biennial,Liquorice flavour; Sweet and sour flavour; Best flavour of the common thyme varieties,"**Fennel** is a biennial that grows to approximately 200cm, boasting very fragrant green hollow stems and large rounded displays of small white/green flowers. Its stems are both used as a vegetable and as a flavouring, while its leaves are used as a herb, for making teas, and in salads. The seeds are used for flavouring liqueurs, desserts, confectionery, and teas, and the plant also has medicinal uses. Fennel self-seeds freely and will die back over winter.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Angelica_Angelica archangelica/Angelica_Angelica archangelica_1.jpg; Angelica_Angelica archangelica/Angelica_Angelica archangelica_2.jpg; Angelica_Angelica archangelica/Angelica_Angelica archangelica_3.jpg,"September, October, November",,,,
Anise,Pimpinella anisum,herb,Annual 50cm; Culinary and medicinal herb; Aniseed,130 days,30cm,7mm,"Full sun, moist well drained soil",Spring and summer,6-14 days @ 20-22°C,Anise seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Half hardy Annual,Sweet and sour flavour,"**Anise** is an annual growing to 50cm with a bushy habit. Its feathery light green leaves have a sweet aniseed flavour that are commonly used in salads, soups, and stews. The aromatic seedpods, known as Aniseed, possess a spicy liquorice flavour that's used in drinks, teas, desserts, breads, and confectionery. This plant also has medicinal uses.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Anise_Pimpinella anisum/Anise_Pimpinella anisum_1.jpg; Anise_Pimpinella anisum/Anise_Pimpinella anisum_2.jpg,"September, October, November",,,,
Applemint,Mentha suaveolens,herb,"Fruity mint flavour; Also known as ""Woolly Mint""",60-70 days,30cm,1mm,"Part or full sun, moist soil",Spring and autumn,10-14 days @ 13-18°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Fruity mint flavour; Best flavour of the common thyme varieties; Refreshing flavour,"**Apple Mint** is a perennial growing to 60cm with a spreading habit. Its bright green leaves are covered in fine hairs, giving the plant a woolly appearance. Leaves have a strong scent reminiscent of mint and fresh apples, making them ideal for use in teas, jams, desserts & sauces due to their fruity mint flavour. Apple Mint has a history of medicinal and aromatherapy uses, and light pink flowers bloom in late summer. This variety can be grown in containers.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Applemint_Mentha suaveolens/Applemint_Mentha suaveolens_1.jpg,"September, October, November, December","August, September, October, November","August, September, October, November","April, May, June, July","May, June, July"
Basil- Blue Spice,Ocimum americanum,herb,Annual 40cm; Culinary herb; Spicy vanilla flavour,70-90 days,40cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Spicy vanilla flavour; Best flavour of the common thyme varieties,"**Vanilla Scented Sweet Basil** is an annual growing to 40cm with fragrant green leaves that produce spikes of small purple flowers. Leaves have a strong and spicy vanilla-like flavour that's great used in both sweet and savory dishes, ideal for fruit salad, dips, sauces, and chicken dishes. This variety can be grown in containers and used in potpourri.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Blue Spice_Ocimum americanum/Basil- Blue Spice_Ocimum americanum_1.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December"
Basil- Bush,,herb,"Also known as ""Greek Basil""; Culinary herb; Dwarf variety; good for pots",80 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Fast growing; Best flavour of the common thyme varieties,"**Greek Basil** is an aromatic annual growing to 20cm with a compact bushy habit. Its smaller leaves make it ideal for growing in pots or other containers, and they're used in the same manner as Sweet basil. This variety is also great as a garden border.",Container growing; Borders; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Bush_unknown/Basil- Bush_unknown_1.jpg; Basil- Bush_unknown/Basil- Bush_unknown_2.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December"
Basil- Cinnamon,Ocimum basilicum,herb,Annual 70cm; Culinary herb; Strong cinnamon scent and flavour,90-110 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Strong cinnamon scent and flavour; Fast growing; Best flavour of the common thyme varieties,"**Cinnamon Basil**, an aromatic annual growing to 70cm, boasts dark purple/red stems and dark green leaves with a strong scent and flavour that's a mix between cinnamon and regular basil. Used in the same way as sweet basil, it's also great in desserts and drinks. This variety can be grown in containers and used fresh or dried.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Cinnamon_Ocimum basilicum/Basil- Cinnamon_Ocimum basilicum_1.jpg; Basil- Cinnamon_Ocimum basilicum/Basil- Cinnamon_Ocimum basilicum_2.jpg; Basil- Cinnamon_Ocimum basilicum/Basil- Cinnamon_Ocimum basilicum_3.jpg; Basil- Cinnamon_Ocimum basilicum/Basil- Cinnamon_Ocimum basilicum_4.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December"
Basil- Dark Opal,Ocimum basilicum,herb,Annual 70cm; Culinary herb; Attractive dark purple foliage,80-100 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Fast growing; Best flavour of the common thyme varieties; Refreshing flavour,"**Purple Leaf Basil** is an aromatic annual growing to 70cm with dark purple slightly crinkled leaves that add extra colour to salads, rice dishes, and basil vinegar. Can be grown in containers and used fresh or dried.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Dark Opal_Ocimum basilicum/Basil- Dark Opal_Ocimum basilicum_1.jpg; Basil- Dark Opal_Ocimum basilicum/Basil- Dark Opal_Ocimum basilicum_2.jpg; Basil- Dark Opal_Ocimum basilicum/Basil- Dark Opal_Ocimum basilicum_3.jpg; Basil- Dark Opal_Ocimum basilicum/Basil- Dark Opal_Ocimum basilicum_4.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December"
Basil- Genovese,Ocimum basilicum,herb,Annual 60cm; Culinary herb; Italian pesto variety,60-80 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Best flavour of the common thyme varieties; Refreshing flavour,". **Genovese Basil**, an aromatic annual growing to 60cm, boasts large fragrant green leaves making it the best variety for making pesto. This variety can be grown in containers and used fresh or dried.",Container growing,"Open pollinated, untreated, non-GMO variety of seed",Basil- Genovese_Ocimum basilicum/Basil- Genovese_Ocimum basilicum_1.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December"
