suburb_id,suburb_name,council,latitude,longitude,heat_intensity,heat_category,heat_rank,vegetation_total,vegetation_rank,tree_coverage,area_hectares
abbotsford,Abbotsford,Yarra (C),-37.8,145.0,7.88,Moderate Heat,163,20.0,288,11.8,174.05
airport_west,Airport West,Moonee Valley (C),-37.72,144.88,9.9,High Heat,51,24.6,256,7.2,371.88
albert_park,Albert Park,Port Phillip (C),-37.85,144.96,6.6,Moderate Heat,219,20.3,285,13.0,467.45
alphington___fairfield,Alphington - Fairfield,Darebin (C),-37.78,145.02,7.79,Moderate Heat,169,30.3,176,14.8,288.48
altona,Altona,Hobsons Bay (C),-37.87,144.82,7.41,Moderate Heat,190,35.0,98,8.5,1768.32
altona_meadows,Altona Meadows,Hobsons Bay (C),-37.88,144.78,9.42,High Heat,76,36.0,88,6.0,1053.9
altona_north,Altona North,Hobsons Bay (C),-37.83,144.85,8.91,High Heat,106,34.5,105,7.6,1618.3
ardeer___albion,Ardeer - Albion,Brimbank (C),-37.78,144.81,10.48,High Heat,34,32.7,132,8.4,458.79
armadale,Armadale,Stonnington (C),-37.86,145.02,7.62,Moderate Heat,180,24.6,257,16.5,218.35
ascot_vale,Ascot Vale,Moonee Valley (C),-37.78,144.92,9.36,High Heat,80,26.8,227,11.0,383.57
ashburton_(vic.),Ashburton (Vic.),Boroondara (C),-37.87,145.08,7.82,Moderate Heat,167,32.0,148,17.0,283.62
ashwood___chadstone,Ashwood - Chadstone,Monash (C),-37.87,145.1,8.41,High Heat,131,28.4,203,13.0,670.83
aspendale_gardens___waterways,Aspendale Gardens - Waterways,Kingston (C) (Vic.),-38.02,145.12,9.73,High Heat,61,38.8,58,8.5,530.73
bacchus_marsh,Bacchus Marsh,Moorabool (S),-37.68,144.51,9.6,High Heat,66,38.4,62,6.0,1254.04
balwyn,Balwyn,Boroondara (C),-37.81,145.08,7.61,Moderate Heat,181,30.5,170,19.2,558.44
balwyn_north,Balwyn North,Boroondara (C),-37.79,145.08,8.03,High Heat,156,32.4,139,18.2,884.82
bayswater,Bayswater,Knox (C),-37.85,145.26,8.01,High Heat,158,26.0,238,11.6,804.31
bayswater_north,Bayswater North,Maroondah (C),-37.83,145.29,7.01,Moderate Heat,205,37.2,74,18.8,990.79
beaconsfield___officer,Beaconsfield - Officer,Cardinia (S),-38.05,145.4,10.7,High Heat,31,44.6,37,11.2,4117.85
beaumaris,Beaumaris,Bayside (C),-37.98,145.04,6.61,Moderate Heat,218,34.4,107,19.0,596.78
belgrave___selby,Belgrave - Selby,Cardinia (S),-37.93,145.4,2.78,Low Heat,251,73.4,3,46.0,322.82
belgrave___selby,Belgrave - Selby,Yarra Ranges (S),-37.92,145.36,4.63,Moderate Heat,241,65.6,8,45.5,5242.14
bentleigh___mckinnon,Bentleigh - McKinnon,Glen Eira (C),-37.92,145.04,8.73,High Heat,116,25.3,248,10.4,622.33
bentleigh_east_(north),Bentleigh East (North),Glen Eira (C),-37.91,145.07,9.13,High Heat,91,25.2,253,9.7,459.88
bentleigh_east_(south),Bentleigh East (South),Glen Eira (C),-37.93,145.06,9.06,High Heat,96,28.7,200,10.8,458.81
berwick___north,Berwick - North,Casey (C),-38.03,145.34,10.92,High Heat,23,37.9,67,15.4,1974.8
berwick___south,Berwick - South,Casey (C),-38.06,145.34,12.51,Extreme Heat,3,38.0,66,9.2,1485.56
blackburn,Blackburn,Whitehorse (C),-37.82,145.15,7.63,Moderate Heat,179,32.3,141,20.6,860.72
blackburn_south,Blackburn South,Whitehorse (C),-37.84,145.15,8.17,High Heat,149,32.0,149,17.4,359.66
boronia,Boronia,Knox (C),-37.86,145.28,7.16,Moderate Heat,199,33.1,125,18.2,1126.23
box_hill,Box Hill,Whitehorse (C),-37.83,145.12,7.88,Moderate Heat,163,28.8,199,16.3,701.12
box_hill_north,Box Hill North,Whitehorse (C),-37.81,145.12,8.19,High Heat,147,32.5,137,17.9,620.81
braeside,Braeside,Kingston (C) (Vic.),-38.0,145.11,9.31,High Heat,82,26.5,232,6.0,908.18
braybrook,Braybrook,Maribyrnong (C),-37.78,144.86,9.93,High Heat,49,30.5,169,8.1,748.34
brighton_(vic.),Brighton (Vic.),Bayside (C),-37.91,145.0,7.23,Moderate Heat,197,27.2,222,14.9,820.0
brighton_east,Brighton East,Bayside (C),-37.92,145.02,8.37,High Heat,134,29.9,183,16.6,560.79
broadmeadows,Broadmeadows,Hume (C),-37.68,144.92,9.22,High Heat,87,37.4,70,8.4,882.53
brunswick,Brunswick,Moreland (C),-37.77,144.96,8.95,High Heat,104,18.8,291,8.3,514.2
brunswick_east,Brunswick East,Moreland (C),-37.77,144.98,8.69,High Heat,118,25.6,241,10.8,216.78
brunswick_west,Brunswick West,Moreland (C),-37.76,144.94,9.11,High Heat,93,29.5,188,11.9,317.92
bulleen,Bulleen,Boroondara (C),-37.78,145.09,8.36,High Heat,135,17.5,292,13.8,9.94
bulleen,Bulleen,Manningham (C),-37.77,145.09,8.51,High Heat,126,31.0,157,14.0,657.11
