SUBURB_NAME,LOCAL_GOVERNMENT_AREA,AVG_HEAT_CELSIUS,MIN_HEAT_CELSIUS,MAX_HEAT_CELSIUS,HEAT_STD_DEV,MESH_BLOCK_COUNT,AVG_VEGETATION_PCT,AVG_TREE_PCT,AVG_SHRUB_PCT,AVG_GRASS_PCT,AVG_SMALL_TREES_PCT,AVG_MEDIUM_TREES_PCT,AVG_LARGE_TREES_PCT,TOTAL_AREA_HECTARES,CENTROID_LONGITUDE,CENTROID_LATITUDE,SUBURB_HEAT_CATEGORY,HEAT_RANK,VEGETATION_RANK
Abbotsford,Yarra (C),7.88,4.43,12.05,1.35,110,19.99,11.79,4.06,4.14,7.4,3.19,1.2,174.05,145.0,-37.8,Moderate Heat,163,288
Airport West,Moonee Valley (C),9.9,7.93,11.61,0.61,126,24.64,7.19,5.92,11.54,5.48,1.18,0.52,371.88,144.88,-37.72,High Heat,51,256
Albert Park,Port Phillip (C),6.6,3.1,8.28,0.94,212,20.33,12.98,3.64,3.71,9.15,2.85,0.97,467.45,144.96,-37.85,Moderate Heat,219,285
Alphington - Fairfield,Darebin (C),7.79,5.37,9.61,0.82,132,30.28,14.8,7.13,8.35,11.19,2.9,0.7,288.48,145.02,-37.78,Moderate Heat,169,176
Altona,Hobsons Bay (C),7.41,-1.09,9.58,1.18,210,35.04,8.52,6.6,19.93,7.13,1.07,0.33,1768.32,144.82,-37.87,Moderate Heat,190,98
Altona Meadows,Hobsons Bay (C),9.42,4.03,11.14,1.19,224,36.04,6.02,7.18,22.83,5.27,0.66,0.1,1053.9,144.78,-37.88,High Heat,76,88
Altona North,Hobsons Bay (C),8.91,4.11,11.27,0.84,182,34.48,7.58,7.22,19.67,6.3,0.99,0.3,1618.3,144.85,-37.83,High Heat,106,105
Ardeer - Albion,Brimbank (C),10.48,8.71,12.62,0.67,101,32.74,8.38,6.65,17.7,6.94,1.11,0.33,458.79,144.81,-37.78,High Heat,34,132
Armadale,Stonnington (C),7.62,6.01,9.76,0.59,156,24.63,16.5,4.79,3.34,12.65,2.99,0.85,218.35,145.02,-37.86,Moderate Heat,180,257
Ascot Vale,Moonee Valley (C),9.36,5.28,11.86,0.78,182,26.76,10.95,6.7,9.12,9.39,1.2,0.36,383.57,144.92,-37.78,High Heat,80,227
Ashburton (Vic.),Boroondara (C),7.82,5.25,9.22,0.69,103,32.05,17.05,6.45,8.54,12.55,3.41,1.08,283.62,145.08,-37.87,Moderate Heat,167,148
