plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period
Achiote,Bixa orellana,vegetable,Evergreen shrub or tree to 6m; Striking fruit covered in stiff red hairs; Use as a natural food colouring,1-2 years,200cm,20mm,"Full sun, moist well drained soil",Spring,28-40 days @ 20-25°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Half Hardy Perennial,Flavour is oyster-like,"**Annatto (Bixa orellana)** is a striking evergreen tree or shrub growing to 6m, but commonly reaches around 3m in cultivation. Its glossy green leaves are pointed and heart-shaped, reaching up to 15cm long, while its pink and white flowers form clusters that stand out against the foliage. The fruit is covered in stiff bright red hairs and splits open when ripe to reveal dark red seeds covered in edible orange pulp. These seeds can be used to create a flavorless food coloring similar to turmeric, known as annato or lipstick tree.",Pink/Rose Flowers; Container growing; Cut flowers; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Achiote_Bixa orellana/Achiote_Bixa orellana_1.jpg; Achiote_Bixa orellana/Achiote_Bixa orellana_2.jpg; Achiote_Bixa orellana/Achiote_Bixa orellana_3.jpg; Achiote_Bixa orellana/Achiote_Bixa orellana_4.jpg,"September, October, November",,,,
Adzuki Bean,Vigna angularis,vegetable,Climbing vine; Great both fresh and dried,120 days,10cm,20mm,"Full sun, well drained soil",Spring and summer,14-21 days @ 18-32°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,Best flavour of the common thyme varieties,"**Adzuki Beans (Vigna angularis)** offer a sweet and nutty flavor that's highly prized in Asian cooking. Native to Japan, these small red beans are versatile, whether fresh or dried for cooking. They're also very nutritious, making them an excellent choice for sprouting seeds or as a green manure.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Adzuki Bean_Vigna angularis/Adzuki Bean_Vigna angularis_1.jpg,"January, October, November, December","January, February, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","January, February, September, October, November, December"
African Horned Cucumber,Cucumis metuliferus,vegetable,Native to Africa; Very unusual fruit; Banana and lime like flavour,120 days,40cm,10mm,"Full sun, moist well drained soil",Spring(or after frost) and summer,14-21 days @ 20-35°C,Sow direct or raise seedlings,Frost tender Annual,Banana and lime like flavour,"**Jelly Melon (Cucumis melo)** is a climbing vine native to Africa that produces unique green thorned fruit which mature into a bright orange/yellow color. The fruit can be enjoyed at any stage, but the mature variety has the best flavor - its jelly-like flesh tastes like a mix of banana, lime, and cucumber. Jelly Melon is commonly eaten fresh or used as a garnish; it stores well and makes an attractive decoration.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",African Horned Cucumber_Cucumis metuliferus/African Horned Cucumber_Cucumis metuliferus_1.jpg; African Horned Cucumber_Cucumis metuliferus/African Horned Cucumber_Cucumis metuliferus_2.jpg; African Horned Cucumber_Cucumis metuliferus/African Horned Cucumber_Cucumis metuliferus_3.jpg,"October, November, December","January, February, September, October, November, December","January, February, March, July, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December"
Amaranth- Green Garnet,Amaranthus tricolor,vegetable,"Large green leaves; Baby leaf, sprouts & microgreens","70-110 days (SPROUTS: 5-10 days, MICROGREENS: 14-21 days, BABY LEAF: 20-30 days)",50cm,6mm,"Full sun, moist soil",Spring or after frost and summer,7-10 days @ 20-25°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Annual,Best flavour of the common thyme varieties,"**Red Amaranth (Amaranthus cruentus)** is often grown for its large green leaves that offer excellent flavor and texture. This Asian staple is fantastic in soups, stews, salads, and stir-fries due to its heat tolerance and fast growth rate. Young leaves are used as a salad green, while mature leaves can be cooked like spinach. Seeds from mature plants also serve as a nutritious grain.",,"Open pollinated, untreated, non-GMO variety of seed",Amaranth- Green Garnet_Amaranthus tricolor/Amaranth- Green Garnet_Amaranthus tricolor_1.jpg,"September, October, November","January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May, June, July, August","March, April, May, June, July, August"
Amaranth- Green Leaf,Amaranthus tricolor,vegetable,Leaf vegetable/salad green; Can also be grown as a sprout and microgreen,"45-55 days (SPROUTS, 4 days; MICROGREENS, 14-21 days)",50cm,6mm,"Full sun, moist soil",Spring or after frost and summer,7-10 days @ 20-25°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Annual,,"**Green Amaranth (Amaranthus spp.)** makes an excellent leaf vegetable or salad green due to its large tender leaves with a sweet flavor. Popular in Asian cuisine for its use in soups, stews, and stir-fries, this fast-growing, heat-tolerant variety is perfect for hot climates.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Amaranth- Green Leaf_Amaranthus tricolor/Amaranth- Green Leaf_Amaranthus tricolor_1.jpg; Amaranth- Green Leaf_Amaranthus tricolor/Amaranth- Green Leaf_Amaranthus tricolor_2.jpg; Amaranth- Green Leaf_Amaranthus tricolor/Amaranth- Green Leaf_Amaranthus tricolor_3.jpg; Amaranth- Green Leaf_Amaranthus tricolor/Amaranth- Green Leaf_Amaranthus tricolor_4.jpg,"September, October, November","January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May, June, July, August","March, April, May, June, July, August"
Amaranth- Red Garnet,Amaranthus tricolor,vegetable,"Attractive red leaves; Baby leaf, sprouts & microgreens","70-110 days (SPROUTS: 5-10 days, MICROGREENS: 14-21 days, BABY LEAF: 20-30 days)",50cm,6mm,"Full sun, moist soil",Spring or after frost and summer,7-10 days @ 20-25°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Annual,,"**Burgundy Amaranth (Amaranthus spp.)** boasts burgundy red/slightly green leaves that are both tender and flavorful, making it an ideal choice for baby leaf, salad greens, sprouts, or microgreens. Its fast growth rate and heat tolerance make it perfect for hot climates, while its upright habit makes it a great ornamental option.",,"Open pollinated, untreated, non-GMO variety of seed",Amaranth- Red Garnet_Amaranthus tricolor/Amaranth- Red Garnet_Amaranthus tricolor_1.jpg; Amaranth- Red Garnet_Amaranthus tricolor/Amaranth- Red Garnet_Amaranthus tricolor_2.jpg; Amaranth- Red Garnet_Amaranthus tricolor/Amaranth- Red Garnet_Amaranthus tricolor_3.jpg; Amaranth- Red Garnet_Amaranthus tricolor/Amaranth- Red Garnet_Amaranthus tricolor_4.jpg,"September, October, November","January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May, June, July, August","March, April, May, June, July, August"
Amaranth- Red Leaf,Amaranthus tricolor,vegetable,Leaf vegetable/salad green; Can also be grown as a sprout and microgreen,"45-55 days (SPROUTS: 4 days, MICROGREENS: 14-21 days)",50cm,6mm,"Full sun, moist soil",Spring or after frost and summer,7-10 days @ 20-25°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Annual,,"**Vegetable Amaranth (Amaranthus mangostanus)** is prized for its tender green/red leaves with red veins that offer a sweet flavor. This Asian staple is excellent in soups, stews, and stir-fries due to its fast growth rate, heat tolerance, and nutritional value.",Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Amaranth- Red Leaf_Amaranthus tricolor/Amaranth- Red Leaf_Amaranthus tricolor_1.jpg; Amaranth- Red Leaf_Amaranthus tricolor/Amaranth- Red Leaf_Amaranthus tricolor_2.jpg; Amaranth- Red Leaf_Amaranthus tricolor/Amaranth- Red Leaf_Amaranthus tricolor_3.jpg; Amaranth- Red Leaf_Amaranthus tricolor/Amaranth- Red Leaf_Amaranthus tricolor_4.jpg,"September, October, November","January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May, June, July, August","March, April, May, June, July, August"
Angelica,Angelica archangelica,vegetable,Biennial 200cm; Culinary and medicinal herb; Liquorice flavour,365 days,50cm,1mm,"Part sun, moist soil",Spring and autumn,30-35 days @ 15-18°C,Angelica seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy Biennial,Liquorice flavour; Sweet and sour flavour; Best flavour of the common thyme varieties,"**Tarragon (Artemisia dracunculus)** is a biennial plant reaching up to 200cm tall with green hollow stems featuring smaller serrated leaflets that produce large displays of small white/green flowers. Its stems are used as a vegetable or flavoring, while its leaves and seeds serve multiple culinary purposes, including teas, salads, and liqueurs.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Angelica_Angelica archangelica/Angelica_Angelica archangelica_1.jpg; Angelica_Angelica archangelica/Angelica_Angelica archangelica_2.jpg; Angelica_Angelica archangelica/Angelica_Angelica archangelica_3.jpg,"September, October, November",,,,
Angled Luffa,Luffa acutangula,vegetable,Asian vegetable; Mature fruits can be used as a sponge; Also known as Chinese Okra or Ridge Gourd,100 days for fruit (150 days for fully mature fruit),50cm,15mm,"Full sun, moist well drained soil",Spring(or after frost),14-21 days @ 25-30°C,Sow direct or raise seedlings,Frost tender Annual,,**Ridge Gourd (Luffa acutangula)** is an Asian summer vine thriving in tropical climates. Its long green-skinned fruit features numerous ridges along its length and has a sweet flavor comparable to zucchini. Mature fruit can be used as a scrubbing sponge or as a substitute for zucchini.,Beds; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Angled Luffa_Luffa acutangula/Angled Luffa_Luffa acutangula_1.jpg; Angled Luffa_Luffa acutangula/Angled Luffa_Luffa acutangula_2.jpg; Angled Luffa_Luffa acutangula/Angled Luffa_Luffa acutangula_3.jpg,"October, November, December","September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, March, August, September, October, November, December"
Artichoke- Colorado Red Star,Cynara scolymus,vegetable,Perennial 60cm; Purple or purple-tinged buds; Grows well from seed,90 days,80cm,10mm,"Full sun, moist well drained soil",Autumn or Spring,14-21 days @ 21-26°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Perennial,Best flavour of the common thyme varieties,". **Globe Artichoke (Cynara scolymus)** is an early maturing variety that grows well from seed, flowering in the first season. Plants reach 30-90cm tall with spiny stems bearing purple or green buds with purple tinges and diameters of up to 5-10cm. Each plant produces multiple buds per stem, making it a perennial option for cooler climates, but can be grown as an annual elsewhere.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Artichoke- Colorado Red Star_Cynara scolymus/Artichoke- Colorado Red Star_Cynara scolymus_1.jpg; Artichoke- Colorado Red Star_Cynara scolymus/Artichoke- Colorado Red Star_Cynara scolymus_2.jpg; Artichoke- Colorado Red Star_Cynara scolymus/Artichoke- Colorado Red Star_Cynara scolymus_3.jpg,"September, October, November","January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May, June, July, August","January, February, March, April, August, September, October, November, December"
